//Language,English,German
STR_TSD9_01,Team Management,Team Management
STR_TSD9_02,Close,Close
STR_TSD9_03,My team,My team
STR_TSD9_04,My group,My group
STR_TSD9_05,Vehicle,Vehicle
STR_TSD9_06,Opposition,Opposition
STR_TSD9_07,Team,Team
STR_TSD9_09,Group,Group
STR_TSD9_11,+/-,+/-
STR_TSD9_12,#,#
STR_TSD9_13,Name,Name
STR_TSD9_15,Seat,Seat
STR_TSD9_16,Role,Role
STR_TSD9_17,Gear,Gear
STR_TSD9_18,Score,Score
STR_TSD9_19,Command,Command
STR_TSD9_20,Requires,Requires
STR_TSD9_21,Pos,Pos
//STR_TSD9_22,TL Prox,TL Prox
STR_TSD9_23,My Prox,My Prox
STR_TSD9_24,Target,Target
STR_TSD9_25,Actions,Actions
STR_TSD9_26,Pvt,Pvt
STR_TSD9_27,Cpl,Cpl
STR_TSD9_28,Sgt,Sgt
STR_TSD9_29,Ltn,Ltn
STR_TSD9_30,Cpt,Cpt
STR_TSD9_31,Mjr,Mjr
STR_TSD9_32,Col,Col
STR_TSD9_33,A.I.,A.I.
STR_TSD9_34,Dead,Dead
STR_TSD9_35,Name unknown,Name unknown
STR_TSD9_36,some,some
STR_TSD9_37,TL,TL
STR_TSD9_38,(My group),(My group)
STR_TSD9_39,Vacant Seats,Vacant Seats
STR_TSD9_40,has left your group,has left your group
STR_TSD9_41,has joined your group,has joined your group
STR_TSD9_42,Your new Team Leader is,Your new Team Leader is
STR_TSD9_43,has resigned,has resigned
STR_TSD9_44,Player,Player
STR_TSD9_45,was kicked from the group,was kicked from the group
STR_TSD9_46,soldier was removed from group,soldier was removed from group
STR_TSD9_47,+,+
STR_TSD9_48,You are the new Team Leader,You are the new Team Leader
STR_TSD9_49,has been replaced,has been replaced
STR_TSD9_50,The Team Leader is no longer an AI player,The Team Leader is no longer an AI player
STR_TSD9_51,New group,New group
STR_TSD9_52,Join group,Join group
STR_TSD9_53,Go TL,Go TL
STR_TSD9_54,New TL,New TL
STR_TSD9_55,Remove,Remove
STR_TSD9_56,Kick,Kick
STR_TSD9_57,Recruit,Recruit
STR_TSD9_58,Invite,Invite
STR_TSD9_59,No,No
STR_TSD9_60,Passenger,Passenger
STR_TSD9_61,was invited into group,was invited into group
STR_TSD9_62,soldier was recruited into group,soldier was recruited into group
STR_TSD9_63,you have been invited to join group,you have been invited to join group
STR_TSD9_64,Collapse all,Collapse all
STR_TSD9_65,Expand all,Expand all
